ProfID,ProfName,ProfTitle,Office,DeptID,SupProfID
PF0041,Jacob Watson,Professor,AS2-01-01,DP05,PF0001
PF0042,Jayden Harrison,Professor,AS2-01-02,DP05,PF0041
PF0043,Harper Evans,Associate Professor,AS2-01-03,DP05,PF0041
PF0044,Gabriel Campbell,Associate Professor,AS2-01-04,DP05,PF0041
PF0045,Wyatt Lewis,Associate Professor,AS2-01-05,DP05,PF0041
PF0046,Caleb Turner,Assistant Professor,AS2-01-06,DP05,PF0041
PF0047,Henry Hill,Assistant Professor,AS2-01-07,DP05,PF0041
PF0048,Riley Morris,Assistant Professor,AS2-01-08,DP05,PF0041
PF0049,Grayson Carter,Assistant Professor,AS2-01-09,DP05,PF0041
PF0050,Caleb Hill,Visiting Professor,AS2-01-10,DP05,PF0041
PF0051,Grace Thomas,Professor,AS2-02-01,DP06,PF0041
PF0052,Carter James,Professor,AS2-02-02,DP06,PF0041
PF0053,Aubrey Clarke,Associate Professor,AS2-02-03,DP06,PF0041
PF0054,Tyler Johnson,Associate Professor,AS2-02-04,DP06,PF0041
PF0055,Nathan Hughes,Associate Professor,AS2-02-05,DP06,PF0041
PF0056,Charlie Evans,Assistant Professor,AS2-02-06,DP06,PF0041
PF0057,Hailey Jackson,Assistant Professor,AS2-02-07,DP06,PF0041
PF0058,Elijah Turner,Assistant Professor,AS2-02-08,DP06,PF0041
PF0059,Ella Wood,Assistant Professor,AS2-02-09,DP06,PF0041
PF0060,Ethan Robinson,Visiting Professor,AS2-02-10,DP06,PF0041
PF0061,Evan Patel,Professor,CE1-01-01,DP07,PF0001
PF0062,Luke Martin,Professor,CE1-01-02,DP07,PF0061
PF0063,James James,Associate Professor,CE1-01-03,DP07,PF0061
PF0064,Nathan Morris,Associate Professor,CE1-01-04,DP07,PF0061
PF0065,Brayden Allen,Associate Professor,CE1-01-05,DP07,PF0061
PF0066,Benjamin Allen,Assistant Professor,CE1-01-06,DP07,PF0061
PF0067,James James,Assistant Professor,CE1-01-07,DP07,PF0061
PF0068,Jack Young,Assistant Professor,CE1-01-08,DP07,PF0061
PF0069,Lucas Phillips,Assistant Professor,CE1-01-09,DP07,PF0061
PF0070,Makayla Williams,Visiting Professor,CE1-01-10,DP07,PF0061
PF0071,Lily White,Professor,CE1-02-01,DP08,PF0061
PF0072,Samuel Evans,Professor,CE1-02-02,DP08,PF0061
PF0073,Gabriel Cooper,Associate Professor,CE1-02-03,DP08,PF0061
PF0074,Charlie Cook,Associate Professor,CE1-02-04,DP08,PF0061
PF0075,Landon Mitchell,Associate Professor,CE1-02-05,DP08,PF0061
PF0076,Abigail Wright,Assistant Professor,CE1-02-06,DP08,PF0061
PF0077,Grayson Wood,Assistant Professor,CE1-02-07,DP08,PF0061
PF0078,Lucy Jones,Assistant Professor,CE1-02-08,DP08,PF0061
PF0079,Audrey Hughes,Assistant Professor,CE1-02-09,DP08,PF0061
PF0080,Nathan Johnson,Visiting Professor,CE1-02-10,DP08,PF0061
PF0081,Caleb Scott,Professor,CE2-01-01,DP09,PF0001
PF0082,Gabriel Hall,Professor,CE2-01-02,DP09,PF0081
PF0083,Elizabeth King,Associate Professor,CE2-01-03,DP09,PF0081
PF0084,Aubrey Moore,Associate Professor,CE2-01-04,DP09,PF0081
PF0085,Mason Thomas,Associate Professor,CE2-01-05,DP09,PF0081
PF0086,Brooklyn Ward,Assistant Professor,CE2-01-06,DP09,PF0081
PF0087,Benjamin Roberts,Assistant Professor,CE2-01-07,DP09,PF0081
PF0088,Luke Clark,Assistant Professor,CE2-01-08,DP09,PF0081
PF0089,Natalie James,Assistant Professor,CE2-01-09,DP09,PF0081
PF0090,Kaitlyn Davies,Visiting Professor,CE2-01-10,DP09,PF0081
PF0091,Aaliyah Ward,Professor,CE2-02-01,DP10,PF0081
PF0092,Ella Walker,Professor,CE2-02-02,DP10,PF0081
PF0093,Grayson Johnson,Associate Professor,CE2-02-03,DP10,PF0081
PF0094,Makayla Lee,Associate Professor,CE2-02-04,DP10,PF0081
PF0095,Grace Watson,Associate Professor,CE2-02-05,DP10,PF0081
PF0096,Liam Martin,Assistant Professor,CE2-02-06,DP10,PF0081
PF0097,Wyatt Ward,Assistant Professor,CE2-02-07,DP10,PF0081
PF0098,Isaac Carter,Assistant Professor,CE2-02-08,DP10,PF0081
PF0099,William Wilson,Assistant Professor,CE2-02-09,DP10,PF0081
PF0100,Emily Hughes,Visiting Professor,CE2-02-10,DP10,PF0081
PF0101,Liam Young,Professor,CE2-03-01,DP11,PF0081
PF0102,Claire Edwards,Professor,CE2-03-02,DP11,PF0081
PF0103,Riley Wright,Associate Professor,CE2-03-03,DP11,PF0081
PF0104,Noah Ward,Associate Professor,CE2-03-04,DP11,PF0081
PF0105,Isabella Williams,Associate Professor,CE2-03-05,DP11,PF0081
PF0106,Ryan Smith,Assistant Professor,CE2-03-06,DP11,PF0081
PF0107,Luke Brown,Assistant Professor,CE2-03-07,DP11,PF0081
PF0108,Wyatt Lewis,Assistant Professor,CE2-03-08,DP11,PF0081
PF0109,Lillian Clark,Assistant Professor,CE2-03-09,DP11,PF0081
PF0110,Hunter Watson,Visiting Professor,CE2-03-10,DP11,PF0081
PF0111,Layla Smith,Professor,CE2-04-01,DP12,PF0081
PF0112,Sarah Taylor,Professor,CE2-04-02,DP12,PF0081
PF0113,Natalie Jackson,Associate Professor,CE2-04-03,DP12,PF0081
PF0114,Amelia Adams,Associate Professor,CE2-04-04,DP12,PF0081
PF0115,Wyatt Morgan,Associate Professor,CE2-04-05,DP12,PF0081
PF0116,Lyla Patel,Assistant Professor,CE2-04-06,DP12,PF0081
PF0117,Sarah Taylor,Assistant Professor,CE2-04-07,DP12,PF0081
PF0118,Sophia Cook,Assistant Professor,CE2-04-08,DP12,PF0081
PF0119,Emily Hall,Assistant Professor,CE2-04-09,DP12,PF0081
PF0120,Jackson Cook,Visiting Professor,CE2-04-10,DP12,PF0081
PF0121,Lily Davies,Professor,ME-01-01,DP13,PF0001
PF0122,Joseph Robinson,Professor,ME-01-02,DP13,PF0121
PF0123,Gabriella Carter,Associate Professor,ME-01-03,DP13,PF0121
PF0124,Sarah Young,Associate Professor,ME-01-04,DP13,PF0121
PF0125,Cameron Turner,Associate Professor,ME-01-05,DP13,PF0121
PF0126,Madelyn Moore,Assistant Professor,ME-01-06,DP13,PF0121
PF0127,Caleb Harrison,Assistant Professor,ME-01-07,DP13,PF0121
PF0128,Owen Green,Assistant Professor,ME-01-08,DP13,PF0121
PF0129,Charlotte Harris,Assistant Professor,ME-01-09,DP13,PF0121
PF0130,Andrew Edwards,Visiting Professor,ME-01-10,DP13,PF0121
PF0131,Gabriella Morris,Professor,ME-02-01,DP14,PF0121
PF0132,Eli Harris,Professor,ME-02-02,DP14,PF0121
PF0133,Kylie Wood,Associate Professor,ME-02-03,DP14,PF0121
PF0134,Audrey Thomas,Associate Professor,ME-02-04,DP14,PF0121
PF0135,Maya Allen,Associate Professor,ME-02-05,DP14,PF0121
PF0136,Leah Ward,Assistant Professor,ME-02-06,DP14,PF0121
PF0137,Matthew Allen,Assistant Professor,ME-02-07,DP14,PF0121
PF0138,Jack Moore,Assistant Professor,ME-02-08,DP14,PF0121
PF0139,Charlie Turner,Assistant Professor,ME-02-09,DP14,PF0121
PF0140,Logan Smith,Visiting Professor,ME-02-10,DP14,PF0121
PF0141,Aaliyah Green,Professor,ME-03-01,DP15,PF0121
PF0142,Amelia White,Professor,ME-03-02,DP15,PF0121
PF0143,Mackenzie Davies,Associate Professor,ME-03-03,DP15,PF0121
PF0144,Jack Smith,Associate Professor,ME-03-04,DP15,PF0121
PF0145,Jack Clarke,Associate Professor,ME-03-05,DP15,PF0121
PF0146,Matthew Taylor,Assistant Professor,ME-03-06,DP15,PF0121
PF0147,Lucas Wood,Assistant Professor,ME-03-07,DP15,PF0121
PF0148,Joseph Robinson,Assistant Professor,ME-03-08,DP15,PF0121
PF0149,Aubrey Moore,Assistant Professor,ME-03-09,DP15,PF0121
PF0150,Benjamin Brown,Visiting Professor,ME-03-10,DP15,PF0121
PF0151,Natalie Ward,Professor,BZ-01-01,DP16,PF0001
PF0152,Luke Clarke,Professor,BZ-01-02,DP16,PF0151
PF0153,Aiden Anderson,Associate Professor,BZ-01-03,DP16,PF0151
PF0154,Elizabeth Jackson,Associate Professor,BZ-01-04,DP16,PF0151
PF0155,Ella Green,Associate Professor,BZ-01-05,DP16,PF0151
PF0156,Zachary Lee,Assistant Professor,BZ-01-06,DP16,PF0151
PF0157,Lyla Jackson,Assistant Professor,BZ-01-07,DP16,PF0151
PF0158,Lillian Edwards,Assistant Professor,BZ-01-08,DP16,PF0151
PF0159,Kaylee Evans,Assistant Professor,BZ-01-09,DP16,PF0151
PF0160,Lily Adams,Visiting Professor,BZ-01-10,DP16,PF0151
PF0161,William Martin,Professor,BZ-02-01,DP17,PF0151
PF0162,Brooklyn Phillips,Professor,BZ-02-02,DP17,PF0151
PF0163,Joseph Edwards,Associate Professor,BZ-02-03,DP17,PF0151
PF0164,Addison Jones,Associate Professor,BZ-02-04,DP17,PF0151
PF0165,Kylie Roberts,Associate Professor,BZ-02-05,DP17,PF0151
PF0166,Elizabeth Cook,Assistant Professor,BZ-02-06,DP17,PF0151
PF0167,Ava Jones,Assistant Professor,BZ-02-07,DP17,PF0151
PF0168,Alexander Hill,Assistant Professor,BZ-02-08,DP17,PF0151
PF0169,Leah Mitchell,Assistant Professor,BZ-02-09,DP17,PF0151
PF0170,Hailey Clark,Visiting Professor,BZ-02-10,DP17,PF0151
PF0171,Layla Phillips,Professor,BZ-03-01,DP18,PF0151
PF0172,Jayden Cook,Professor,BZ-03-02,DP18,PF0151
PF0173,Grace Adams,Associate Professor,BZ-03-03,DP18,PF0151
PF0174,Lillian Walker,Associate Professor,BZ-03-04,DP18,PF0151
PF0175,Grayson Clark,Associate Professor,BZ-03-05,DP18,PF0151
PF0176,Brooklyn Taylor,Assistant Professor,BZ-03-06,DP18,PF0151
PF0177,Wyatt Wood,Assistant Professor,BZ-03-07,DP18,PF0151
PF0178,James Clark,Assistant Professor,BZ-03-08,DP18,PF0151
PF0179,Caleb Mitchell,Assistant Professor,BZ-03-09,DP18,PF0151
PF0180,Addison Roberts,Visiting Professor,BZ-03-10,DP18,PF0151
PF0181,Avery Davies,Professor,BZ-04-01,DP19,PF0151
PF0182,Harper Cooper,Professor,BZ-04-02,DP19,PF0151
PF0183,Lucy Jones,Associate Professor,BZ-04-03,DP19,PF0151
PF0184,Cameron Walker,Associate Professor,BZ-04-04,DP19,PF0151
PF0185,Jayden Turner,Associate Professor,BZ-04-05,DP19,PF0151
PF0186,Harper Taylor,Assistant Professor,BZ-04-06,DP19,PF0151
PF0187,Eli Clark,Assistant Professor,BZ-04-07,DP19,PF0151
PF0188,Ella Scott,Assistant Professor,BZ-04-08,DP19,PF0151
PF0189,Lily Wilson,Assistant Professor,BZ-04-09,DP19,PF0151
PF0190,Evelyn Young,Visiting Professor,BZ-04-10,DP19,PF0151
